ID,MAR,DAR,DARDesc,OrgSet,ER,Persona
dee46eac-5993-405b-b370-7c30de0d4a9b,AARMI_MM_MPRQAC00,AARMI_MD_MPRQAC00_CSCH_IW6ZL1,ARMI: Maintenance Plan Request Activation [CSCH: PL 6ZL1],CSCH_IW6ZL1,CER: A2R M&I / MS Maintenance Planner [CSCH: PL 6ZL1],A2R Maintenance Planner
3747978e-9ec5-4ee9-a806-746d9b484512,AARMI_MM_MPRQCR00,AARMI_MD_MPRQCR00_CSCH_IW6ZL1,ARMI: Maintenance Plan Request Creation [CSCH: PL 6ZL1],CSCH_IW6ZL1,CER: A2R M&I / MS Maintenance Planner [CSCH: PL 6ZL1],A2R Maintenance Planner
50878332-20b0-467f-bf8f-abde8d660e00,AARMI_MM_MPRQAP02,AARMI_MD_MPRQAP02_CSCH_IW6ZL1,ARMI: Maintenance Plan Request Approval (MP) [CSCH: PL 6ZL1],CSCH_IW6ZL1,CER: A2R M&I / MS Maintenance Planner [CSCH: PL 6ZL1],A2R Maintenance Planner
ae27c4fd-87eb-48a6-a8a8-15cebe3ed8c8,AARMI_MM_WKFLRO02,AARMI_MD_WKFLRO02_CSCH_IW6ZL1,ARMI: Workflow Routing (MP) [CSCH: PL 6ZL1],CSCH_IW6ZL1,CER: A2R M&I / MS Maintenance Planner [CSCH: PL 6ZL1],A2R Maintenance Planner
890b4380-0327-4bcf-b0e4-293191f7747d,AARMI_MM_MARECR02,AARMI_MD_MARECR02_CSCH_IW6ZL1,ARMI: Maintenance Request Creation (Emergency) [CSCH: PL 6ZL1],CSCH_IW6ZL1,CER: A2R M&I Maintenance Requestor [CSCH: PL 6ZL1],A2R Maintenance Requester
3aad38e4-862f-4570-adeb-14256694a57d,AARMI_MM_MARECR02,AARMI_MD_MARECR02_CSCH_IW6ZL1,ARMI: Maintenance Request Creation (Emergency) [CSCH: PL 6ZL1],CSCH_IW6ZL1,CER: A2R M&I Maintenance Supervisor [CSCH: PL 6ZL1],A2R Maintenance Supervisor
968ccc9e-b3cc-40b8-bdd8-2002116e2b87,AARMI_MM_MARECR01,AARMI_MD_MARECR01_CSCH_IW6ZL1,ARMI: Maintenance Request Creation (Regular and Minor Work) [CSCH: PL 6ZL1],CSCH_IW6ZL1,CER: A2R M&I Maintenance Requestor [CSCH: PL 6ZL1],A2R Maintenance Requester
251795c2-d5a2-4b18-b13a-2a1cc89a88b6,AARMI_MM_MARECR01,AARMI_MD_MARECR01_CSCH_IW6ZL1,ARMI: Maintenance Request Creation (Regular and Minor Work) [CSCH: PL 6ZL1],CSCH_IW6ZL1,CER: A2R M&I Maintenance Supervisor [CSCH: PL 6ZL1],A2R Maintenance Supervisor
22b59719-a7bd-4e84-a98e-f1cf9f7a5be9,AARMI_MM_MARERL00,AARMI_MD_MARERL00_CSCH_IW6ZL1,ARMI: Maintenance Request Release [CSCH: PL 6ZL1],CSCH_IW6ZL1,CER: A2R M&I / MS Maintenance Planner [CSCH: PL 6ZL1],A2R Maintenance Planner
24616c1b-989f-4dba-b34b-9d4e144f3495,AARMI_MM_MARERL00,AARMI_MD_MARERL00_CSCH_IW6ZL1,ARMI: Maintenance Request Release [CSCH: PL 6ZL1],CSCH_IW6ZL1,CER: A2R M&I Maintenance Supervisor [CSCH: PL 6ZL1],A2R Maintenance Supervisor
